sample_id	PAM50_recomputed	PAM50Call_RNAseq	PAM50_final	thornsson_subtype	CPE
TCGA-AO-A03V-01	LumA	LumA	LumA		0.7466
TCGA-AO-A0J2-01	Her2	Her2	Her2		0.7887
TCGA-AO-A0J3-01	LumB	LumB	LumB		0.945
TCGA-AO-A0J4-01	Basal	Basal	Basal		0.661
TCGA-AO-A0J5-01	LumB	LumA	LumA		0.6372
TCGA-AO-A0J6-01	Basal	Basal	Basal		0.7779
TCGA-AO-A0J7-01	LumB	LumB	LumB		0.893
TCGA-AO-A0J8-01	LumB	LumA	LumA		0.769
TCGA-AO-A0J9-01	LumB	LumA	LumA		0.5233
TCGA-AO-A0JA-01	LumB	LumA	LumA		0.79
TCGA-AO-A0JB-01	Basal		Basal		0.8334
TCGA-AO-A0JC-01	LumB	LumA	LumA		0.1344
TCGA-AO-A0JD-01	LumB	LumB	LumB		0.7512
TCGA-AO-A0JE-01	Her2	Her2	Her2		0.6612
TCGA-AO-A0JF-01	LumA	LumA	LumA		0.7511
TCGA-AO-A0JG-01	LumA	LumA	LumA		0.7331
TCGA-AO-A0JI-01	LumB	LumA	LumA		0.9084
TCGA-AO-A0JJ-01	LumA	LumA	LumA		0.6854
TCGA-AO-A0JL-01	Basal	Basal	Basal		0.8053
TCGA-AO-A0JM-01	Her2	LumB	LumB		0.7582
TCGA-AO-A124-01	Basal	Basal	Basal		0.8859
TCGA-AO-A125-01	LumB	LumA	LumA		0.984
TCGA-AO-A126-01	LumB	LumA	LumA		0.8614
TCGA-AO-A128-01	Basal	Basal	Basal		0.4024
TCGA-AO-A129-01	Basal	Basal	Basal		0.6281
TCGA-AO-A12A-01	LumA	LumA	LumA		0.6831
TCGA-AO-A12B-01	LumB	LumA	LumA		0.9025
TCGA-AO-A12C-01	LumA	LumA	LumA		0.8583
TCGA-AO-A12D-01	Her2	Her2	Her2		0.4647
TCGA-AO-A12E-01	LumA	LumA	LumA		0.6979
TCGA-AO-A12F-01	Basal	Basal	Basal		0.7978
TCGA-AO-A12G-01	LumA	LumA	LumA		0.8106
TCGA-AO-A12H-01	LumB	LumA	LumA		0.7787
TCGA-AO-A1KO-01	Normal	Normal	Normal		0.7957
TCGA-AO-A1KP-01	LumB	LumB	LumB		0.9611
TCGA-AO-A1KQ-01	LumB	LumB	LumB		0.7314
TCGA-AO-A1KR-01	Basal	Basal	Basal		0.7423
TCGA-AO-A1KS-01	LumB	LumB	LumB		0.7771
TCGA-AO-A1KT-01	LumB	LumB	LumB		0.7696
TCGA-AQ-A04H-01	LumB	LumB	LumB		0.8719
TCGA-AQ-A04J-01	Basal	Basal	Basal		0.5991
TCGA-AQ-A04L-01	Her2	LumA	LumA		0.8262
TCGA-AQ-A0Y5-01	Her2	LumA	LumA		0.7019
TCGA-AQ-A1H2-01	LumA	LumA	LumA		0.894
TCGA-AQ-A1H3-01	LumA	LumA	LumA		0.7233
TCGA-AQ-A54N-01	Basal		Basal		0.9075
TCGA-AQ-A54O-01	LumB		LumB		0.7984
TCGA-AQ-A7U7-01	LumA		LumA		0.5218
TCGA-AR-A0TP-01	Basal	Basal	Basal		0.9681
TCGA-AR-A0TQ-01	Her2	LumB	LumB		0.7026
TCGA-AR-A0TR-01	LumA	LumA	LumA		0.9022
TCGA-AR-A0TS-01	Basal	Basal	Basal		0.4654
TCGA-AR-A0TT-01	LumB	LumB	LumB		0.5199
TCGA-AR-A0TU-01	Basal	Basal	Basal		0.8189
TCGA-AR-A0TV-01	LumB	LumB	LumB		0.7775
TCGA-AR-A0TW-01	LumB	LumA	LumA		0.7947
TCGA-AR-A0TX-01	Her2	Her2	Her2		0.5818
TCGA-AR-A0TY-01	LumB	LumB	LumB		0.8835
TCGA-AR-A0TZ-01	LumB	LumA	LumA		0.8597
TCGA-AR-A0U0-01	Basal	Basal	Basal		0.5965
TCGA-AR-A0U1-01	Basal	Basal	Basal		0.6227
TCGA-AR-A0U2-01	LumB	LumB	LumB		0.7958
TCGA-AR-A0U3-01	LumB	LumA	LumA		0.8902
TCGA-AR-A0U4-01	Basal	Basal	Basal		0.4542
