sample	stromal	immune	estimate
TCGA-A8-A099-01	2460.46053972243	1974.72708895344	4435.18762867588
TCGA-BH-A201-01	3598.02540627441	1448.95620760592	5046.98161388033
TCGA-AO-A0J3-01	242.834220536594	600.707851811225	843.542072347819
TCGA-AR-A24H-01	1770.71372444899	2508.75858254118	4279.47230699017
TCGA-BH-A0WA-01	2323.64322880578	2071.20250112852	4394.8457299343
TCGA-AC-A3W6-01	4686.53885324645	4170.05250253325	8856.5913557797
TCGA-AO-A0J2-01	1654.23392029894	3207.72276643867	4861.95668673761
TCGA-A8-A08P-01	3897.19646969891	4516.06306097314	8413.25953067205
TCGA-C8-A275-01	2916.83016893048	4533.50707206877	7450.33724099924
TCGA-BH-A18P-01	2656.11954993597	2048.03098900998	4704.15053894595
TCGA-B6-A0RQ-01	1842.57090423259	665.522611961017	2508.09351619361
TCGA-BH-A0BC-01	4096.61231462485	4079.56660256704	8176.1789171919
TCGA-A7-A26E-01	3610.03681279028	1794.83360869749	5404.87042148777
TCGA-E9-A1N6-11	3969.18155298587	3181.71503494417	7150.89658793004
TCGA-BH-A2L8-01	3701.3190850682	4873.88017937896	8575.19926444715
TCGA-BH-A18R-11	3507.79835110944	1711.79695196765	5219.59530307709
TCGA-BH-A0DK-01	4619.6242021934	4824.75928630721	9444.38348850062
TCGA-A2-A0T2-01	2272.40979041301	2228.27540891871	4500.68519933172
TCGA-BH-A1EO-11	5800.43244207283	4704.77657761834	10505.2090196912
TCGA-E2-A1IF-01	3481.5456297425	2119.48919728883	5601.03482703133
TCGA-AR-A2LL-01	2469.61072235849	2630.9820529295	5100.592775288
TCGA-E9-A1N8-01	799.941559392117	433.546089680467	1233.48764907258
TCGA-E9-A247-01	1413.47315320576	597.244002008925	2010.71715521469
TCGA-D8-A27E-01	1923.01706013226	1918.99451726236	3842.01157739462
TCGA-EW-A1P0-01	2324.58574346714	1937.42909592328	4262.01483939042
TCGA-C8-A1HF-01	3608.50461653301	3987.87439093897	7596.37900747198
TCGA-E9-A244-01	2055.10190571606	1436.43705147598	3491.53895719205
TCGA-AO-A0JD-01	954.586114501737	2262.79207921602	3217.37819371775
TCGA-A1-A0SO-01	-55.4545408832069	340.074738344287	284.62019746108
TCGA-A8-A09T-01	2822.07429525402	1886.47747263392	4708.55176788794
TCGA-D8-A73X-01	3053.47231476101	1759.7210930239	4813.19340778491
TCGA-AC-A8OS-01	4095.76041051571	3254.64059992415	7350.40101043985
TCGA-E2-A15C-01	3116.1612463895	1798.96030641674	4915.12155280624
TCGA-BH-A18I-01	4493.38843404765	3541.63426386984	8035.02269791749
TCGA-EW-A1PF-01	4012.48624416549	2658.02750800545	6670.51375217093
TCGA-E2-A108-01	5599.13058232181	6160.29092990531	11759.4215122271
TCGA-HN-A2OB-01	4249.96319935697	1923.59037230382	6173.55357166079
TCGA-B6-A0RU-01	2499.77066002748	1108.46392738225	3608.23458740973
TCGA-AO-A0JC-01	3457.8880327167	7795.94625076401	11253.8342834807
TCGA-B6-A0RM-01	1210.07961391243	757.006987983521	1967.08660189595
TCGA-AC-A23H-11	4431.75523798369	2429.95601088986	6861.71124887354
TCGA-A8-A08G-01	2806.18680033196	2291.9170352649	5098.10383559686
TCGA-E9-A3Q9-01	2743.11923319003	3206.43241975691	5949.55165294693
TCGA-C8-A1HL-01	3364.50850770427	2085.50378604992	5450.01229375419
TCGA-C8-A3M8-01	2316.10440126179	998.972327359922	3315.07672862171
TCGA-MS-A51U-01	3521.57143036846	2504.02572460469	6025.59715497315
TCGA-AR-A24W-01	3382.76737711514	1174.99314095768	4557.76051807282
TCGA-EW-A1P7-01	4248.41750652616	5965.45870021401	10213.8762067402
TCGA-A2-A04W-01	3072.53293755941	1930.9885732732	5003.52151083262
TCGA-AC-A8OR-01	157.796555574713	1752.13105642141	1909.92761199612
TCGA-E2-A105-01	1147.4578289455	626.217947546192	1773.6757764917
TCGA-D8-A13Y-01	325.382277235643	-486.457204885235	-161.074927649592
TCGA-V7-A7HQ-01	2161.86135904162	1776.07026402612	3937.93162306773
TCGA-AR-A2LO-01	3606.99521258836	3742.13942742675	7349.13464001511
TCGA-3C-AALI-01	2468.00746102866	3236.90839161322	5704.91585264188
TCGA-E2-A1LS-01	1382.7189693975	743.617498621222	2126.33646801872
TCGA-BH-A18N-11	4160.78521613761	2149.39088414809	6310.1761002857
TCGA-A7-A0CE-11	3754.82151772237	2958.4412353462	6713.26275306857
TCGA-BH-A1FG-01	1843.44515565013	1517.46020870259	3360.90536435272
TCGA-A8-A08H-01	5555.1277205392	5888.39726108205	11443.5249816213
TCGA-AR-A0TS-01	3384.96635941564	5127.23514607743	8512.20150549307
TCGA-A2-A3XU-01	-194.823576985652	129.652094404755	-65.1714825808971
TCGA-D8-A1XG-01	2031.53907816978	1188.79121959622	3220.33029776601
TCGA-BH-A0AY-11	4004.04820823197	2393.75500865263	6397.8032168846
TCGA-AR-A0TT-01	4322.33009350893	5779.99543345178	10102.3255269607
TCGA-D8-A1JJ-01	3588.66913535122	2292.82795523417	5881.49709058539
TCGA-D8-A145-01	3639.03976212177	2282.48961655591	5921.52937867767
TCGA-BH-A1ES-01	2600.61467691971	316.801067323097	2917.41574424281
TCGA-C8-A12M-01	1417.46569005401	1327.06087208047	2744.52656213449
TCGA-A2-A0CY-01	80.6938290388288	296.656240758861	377.350069797689
TCGA-A8-A08L-01	2324.28347291092	3221.07084353651	5545.35431644743
TCGA-OL-A5S0-01	3375.0495854908	3447.92149429835	6822.97107978915
TCGA-C8-A1HJ-01	1607.08705099808	1403.95142937783	3011.03848037592
TCGA-BH-A0BR-01	4507.71388592374	3332.26477162426	7839.978657548
TCGA-AO-A12E-01	3153.52037029471	2659.22325336545	5812.74362366016
